"filename"	"nutt_ad"	"nutt_peer"	"target_child_id.x"	"tot"	"prop_peer"
"Ambrose/HL/22/76AM_22.xml"	482	NA	NA	NA	NA
"Ambrose/HL/22/80LA_22.xml"	461	NA	NA	NA	NA
"Ambrose/HL/22/81QF_22.xml"	666	NA	NA	NA	NA
"Ambrose/HL/22/82NE_22.xml"	380	NA	NA	NA	NA
"Ambrose/HL/22/83DR_22.xml"	639	NA	NA	NA	NA
"Ambrose/HL/22/86LS_22.xml"	529	NA	NA	NA	NA
"Ambrose/HL/22/87FB_22.xml"	460	NA	NA	NA	NA
"Ambrose/HL/22/90BM_22.xml"	566	NA	NA	NA	NA
"Ambrose/HL/22/LR24_22.xml"	397	NA	NA	NA	NA
"Ambrose/HL/27/51SA_27.xml"	310	NA	NA	NA	NA
"Ambrose/HL/27/52CC_27.xml"	467	NA	NA	NA	NA
"Ambrose/HL/27/57ZK_27.xml"	249	NA	NA	NA	NA
"Ambrose/HL/27/58LL_27.xml"	585	NA	NA	NA	NA
"Ambrose/HL/27/60CS_27.xml"	540	NA	NA	NA	NA
"Ambrose/HL/27/61MC_27.xml"	391	NA	NA	NA	NA
"Ambrose/HL/27/66JP_27.xml"	499	NA	NA	NA	NA
"Ambrose/HL/27/70JW_27.xml"	438	NA	NA	NA	NA
"Ambrose/HL/27/74LA_27.xml"	458	NA	NA	NA	NA
"Ambrose/HL/27/76AM_27.xml"	324	NA	NA	NA	NA
"Ambrose/HL/27/80LA_27.xml"	406	NA	NA	NA	NA
"Ambrose/HL/27/81QF_27.xml"	723	NA	NA	NA	NA
"Ambrose/HL/27/82NE_27.xml"	471	NA	NA	NA	NA
"Ambrose/HL/27/83DR_27.xml"	688	NA	NA	NA	NA
"Ambrose/HL/27/86LS_27.xml"	545	NA	NA	NA	NA
"Ambrose/HL/27/87FB_27.xml"	482	NA	NA	NA	NA
"Ambrose/HL/27/89CH_27.xml"	467	NA	NA	NA	NA
"Ambrose/HL/27/90BM_27.xml"	614	NA	NA	NA	NA
"Ambrose/HL/27/CP22_27.xml"	347	NA	NA	NA	NA
"Ambrose/HL/27/JW36_27.xml"	475	NA	NA	NA	NA
"Ambrose/HL/27/LR24_27.xml"	296	NA	NA	NA	NA
"Ambrose/HL/36/51SA_34.xml"	199	NA	NA	NA	NA
"Ambrose/HL/36/52CC_36.xml"	118	48	6936	166	0.289156626506024
"Ambrose/HL/36/57ZK_36.xml"	244	NA	NA	NA	NA
"Ambrose/HL/36/58LL_36.xml"	350	NA	NA	NA	NA
"Ambrose/HL/36/60CS_36.xml"	390	NA	NA	NA	NA
"Ambrose/HL/36/61MC_36.xml"	227	NA	NA	NA	NA
"Ambrose/HL/36/66JP_36.xml"	434	NA	NA	NA	NA
"Ambrose/HL/36/70JW_36.xml"	264	NA	NA	NA	NA
"Ambrose/HL/36/74LA_36.xml"	300	NA	NA	NA	NA
"Ambrose/HL/36/76AM_36.xml"	183	NA	NA	NA	NA
"Ambrose/HL/36/80LA_36.xml"	328	NA	NA	NA	NA
"Ambrose/HL/36/81QF_36.xml"	455	NA	NA	NA	NA
"Ambrose/HL/36/82NE_36.xml"	359	NA	NA	NA	NA
"Ambrose/HL/36/83DR_36.xml"	392	NA	NA	NA	NA
"Ambrose/HL/36/85KB_36.xml"	397	NA	NA	NA	NA
"Ambrose/HL/36/86LS_36.xml"	320	NA	NA	NA	NA
"Ambrose/HL/36/89CH_36.xml"	253	NA	NA	NA	NA
"Ambrose/HL/36/90MB_36.xml"	393	NA	NA	NA	NA
"Ambrose/HL/36/CP22_36.xml"	229	NA	NA	NA	NA
"Ambrose/HL/36/JW36_36.xml"	300	NA	NA	NA	NA
"Ambrose/HL/36/LR24_36.xml"	277	NA	NA	NA	NA
"Ambrose/NH/13/01DM_13.xml"	501	NA	NA	NA	NA
"Ambrose/NH/13/02JW_13.xml"	413	NA	NA	NA	NA
"Ambrose/NH/13/03PH_13.xml"	393	NA	NA	NA	NA
"Ambrose/NH/13/06BB_13.xml"	416	NA	NA	NA	NA
"Ambrose/NH/13/07ES_13.xml"	387	NA	NA	NA	NA
"Ambrose/NH/13/08SE_13.xml"	143	NA	NA	NA	NA
"Ambrose/NH/13/10MF_13.xml"	645	NA	NA	NA	NA
"Ambrose/NH/13/11ES_13.xml"	417	NA	NA	NA	NA
"Ambrose/NH/13/13JI_13.xml"	328	NA	NA	NA	NA
"Ambrose/NH/13/14AM_13.xml"	336	NA	NA	NA	NA
"Ambrose/NH/13/15BG_13.xml"	422	NA	NA	NA	NA
"Ambrose/NH/13/17JH_13.xml"	500	NA	NA	NA	NA
"Ambrose/NH/13/19BB_13.xml"	467	NA	NA	NA	NA
"Ambrose/NH/13/21MB_13.xml"	449	NA	NA	NA	NA
"Ambrose/NH/13/23LH_13.xml"	353	NA	NA	NA	NA
"Ambrose/NH/13/25CC_13.xml"	372	NA	NA	NA	NA
"Ambrose/NH/13/26AC_13.xml"	468	NA	NA	NA	NA
"Ambrose/NH/13/27MR_13.xml"	385	NA	NA	NA	NA
"Ambrose/NH/18/01DM_18.xml"	544	NA	NA	NA	NA
"Ambrose/NH/18/02JW_18.xml"	318	NA	NA	NA	NA
"Ambrose/NH/18/03PH_18.xml"	393	NA	NA	NA	NA
"Ambrose/NH/18/06BB_18.xml"	589	NA	NA	NA	NA
"Ambrose/NH/18/07ES_18.xml"	441	NA	NA	NA	NA
"Ambrose/NH/18/08SE_18.xml"	241	NA	NA	NA	NA
"Ambrose/NH/18/10MF_18.xml"	581	NA	NA	NA	NA
"Ambrose/NH/18/11ES_18.xml"	480	NA	NA	NA	NA
"Ambrose/NH/18/13JI_18.xml"	323	NA	NA	NA	NA
"Ambrose/NH/18/14AM_18.xml"	324	NA	NA	NA	NA
"Ambrose/NH/18/15BG_18.xml"	409	NA	NA	NA	NA
"Ambrose/NH/18/17JH_18.xml"	553	NA	NA	NA	NA
"Ambrose/NH/18/19BB_18.xml"	384	NA	NA	NA	NA
"Ambrose/NH/18/21MB_18.xml"	472	NA	NA	NA	NA
"Ambrose/NH/18/23LH_18.xml"	401	NA	NA	NA	NA
"Ambrose/NH/18/25CC_18.xml"	340	NA	NA	NA	NA
"Ambrose/NH/18/26AC_18.xml"	414	NA	NA	NA	NA
"Ambrose/NH/18/27MR_18.xml"	435	NA	NA	NA	NA
"Ambrose/NH/22/01DM_22.xml"	559	NA	NA	NA	NA
"Ambrose/NH/22/02JW_22.xml"	404	NA	NA	NA	NA
"Ambrose/NH/22/03PH_22.xml"	441	NA	NA	NA	NA
"Ambrose/NH/22/06BB_22.xml"	637	NA	NA	NA	NA
"Ambrose/NH/22/07ES_22.xml"	492	NA	NA	NA	NA
"Ambrose/NH/22/08SE_22.xml"	356	NA	NA	NA	NA
"Ambrose/NH/22/10MF_22.xml"	599	NA	NA	NA	NA
"Ambrose/NH/22/11ES_22.xml"	452	NA	NA	NA	NA
"Ambrose/NH/22/13JI_22.xml"	512	NA	NA	NA	NA
"Ambrose/NH/22/14AM_22.xml"	305	NA	NA	NA	NA
"Ambrose/NH/22/15BG_22.xml"	388	NA	NA	NA	NA
"Ambrose/NH/22/17JH_22.xml"	523	NA	NA	NA	NA
"Ambrose/NH/22/19BB_22.xml"	552	NA	NA	NA	NA
"Ambrose/NH/22/21MB_22.xml"	491	NA	NA	NA	NA
"Ambrose/NH/22/23LH_22.xml"	423	NA	NA	NA	NA
"Ambrose/NH/22/25CC_22.xml"	430	NA	NA	NA	NA
"Ambrose/NH/22/26AC_22.xml"	464	NA	NA	NA	NA
"Ambrose/NH/22/27MR_22.xml"	486	NA	NA	NA	NA
"Ambrose/NH/27/01DM_27.xml"	507	NA	NA	NA	NA
"Ambrose/NH/27/02JW_27.xml"	294	NA	NA	NA	NA
"Ambrose/NH/27/03PH_27.xml"	462	NA	NA	NA	NA
"Ambrose/NH/27/06BB_27.xml"	746	NA	NA	NA	NA
"Ambrose/NH/27/07ES_27.xml"	482	NA	NA	NA	NA
"Ambrose/NH/27/08SE_27.xml"	180	NA	NA	NA	NA
"Ambrose/NH/27/10MF_27.xml"	561	NA	NA	NA	NA
"Ambrose/NH/27/11ES_27.xml"	375	NA	NA	NA	NA
"Ambrose/NH/27/13JI_27.xml"	433	NA	NA	NA	NA
"Ambrose/NH/27/14AM_27.xml"	331	NA	NA	NA	NA
"Ambrose/NH/27/15BG_27.xml"	410	NA	NA	NA	NA
"Ambrose/NH/27/17JH_27.xml"	457	NA	NA	NA	NA
"Ambrose/NH/27/19BB_27.xml"	595	NA	NA	NA	NA
"Ambrose/NH/27/21MB_27.xml"	355	NA	NA	NA	NA
"Ambrose/NH/27/23LH_27.xml"	391	NA	NA	NA	NA
"Ambrose/NH/27/25CC_27.xml"	262	NA	NA	NA	NA
"Ambrose/NH/27/26AC_27.xml"	430	NA	NA	NA	NA
"Ambrose/NH/27/27MR_27.xml"	435	NA	NA	NA	NA
"Ambrose/NH/36/01DM_36.xml"	352	NA	NA	NA	NA
"Ambrose/NH/36/02JW_36.xml"	244	NA	NA	NA	NA
"Ambrose/NH/36/03PH_36.xml"	283	NA	NA	NA	NA
"Ambrose/NH/36/06BB_36.xml"	450	NA	NA	NA	NA
"Ambrose/NH/36/07ES_36.xml"	328	NA	NA	NA	NA
"Ambrose/NH/36/08SE_36.xml"	120	NA	NA	NA	NA
"Ambrose/NH/36/10MF_36.xml"	412	NA	NA	NA	NA
"Ambrose/NH/36/11ES_36.xml"	229	NA	NA	NA	NA
"Ambrose/NH/36/13JI_36.xml"	296	NA	NA	NA	NA
"Ambrose/NH/36/14AM_36.xml"	204	NA	NA	NA	NA
"Ambrose/NH/36/15BG_36.xml"	297	NA	NA	NA	NA
"Ambrose/NH/36/17JH_36.xml"	311	NA	NA	NA	NA
"Ambrose/NH/36/19BB_36.xml"	167	NA	NA	NA	NA
"Ambrose/NH/36/21MB_36.xml"	307	NA	NA	NA	NA
"Ambrose/NH/36/23LH_36.xml"	206	NA	NA	NA	NA
"Ambrose/NH/36/25CC_36.xml"	226	NA	NA	NA	NA
"Ambrose/NH/36/26AC_36.xml"	227	NA	NA	NA	NA
"Ambrose/NH/36/27MR_36.xml"	296	NA	NA	NA	NA
"Amsterdam/Annick/fra/01.xml"	197	NA	NA	NA	NA
